Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2963811,Wynn Resorts Ltd,WYNN,0.03%,Casinos & Gaming,US,---,"$4,356,486.42","46,159"
,2818740,Snap-on Inc,SNA,0.03%,Industrial Machinery & Supplies & Components,US,---,"$4,325,373.00","11,700"
,B0G4K50,CF Industries Holdings Inc,CF,0.03%,Fertilizers & Agricultural Chemicals,US,---,"$4,312,197.70","48,095"
,BQPDXR3,Cooper Cos Inc/The,COO,0.03%,Health Care Supplies,US,---,"$4,310,855.28","41,268"
,2329770,FactSet Research Systems Inc,FDS,0.03%,Financial Exchanges & Data,US,---,"$4,308,082.60","8,780"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$4,306,828.99","42,503"
,2937689,Waters Corp,WAT,0.03%,Life Sciences Tools & Services,US,---,"$4,183,445.28","10,874"
,BNNF1C1,Apa Corp,APA,0.03%,Oil & Gas Exploration & Production,US,---,"$4,133,874.15","182,511"
,2471789,Jabil Inc,JBL,0.03%,Electronic Manufacturing Services,US,---,"$4,102,201.83","30,201"
,2781585,Pool Corp,POOL,0.03%,Distributors,US,---,"$4,042,404.80","10,720"
,B05MZT4,Celanese Corp,CE,0.03%,Specialty Chemicals,US,---,"$3,927,496.87","53,647"
,2567503,Host Hotels & Resorts Inc,HST,0.03%,Hotel & Resort REITs,US,---,"$3,829,757.46","207,913"
,2142922,VeriSign Inc,VRSN,0.03%,Internet Services & Infrastructure,US,---,"$3,720,202.50","19,875"
,BDQZFJ3,Lamb Weston Holdings Inc,LW,0.03%,Packaged Foods & Meats,US,---,"$3,615,372.68","46,807"
,B1XGNW4,Insulet Corp,PODD,0.02%,Health Care Equipment,US,---,"$3,514,826.50","13,175"
,BFX1V56,Dayforce Inc,DAY,0.02%,Human Resource & Employment Services,US,---,"$3,433,410.77","42,923"
,B6197Q2,Generac Holdings Inc,GNRC,0.02%,Electrical Components & Equipment,US,---,"$3,404,538.00","18,090"
,B01SD70,Domino's Pizza Inc,DPZ,0.02%,Restaurants,US,---,"$3,308,091.93","6,947"
,2507457,Akamai Technologies Inc,AKAM,0.02%,Internet Services & Infrastructure,US,---,"$3,305,273.10","35,155"
,2311711,Erie Indemnity Co,ERIE,0.02%,Property & Casualty Insurance,US,---,"$3,144,717.28","7,138"
,2325507,Expeditors International of Washington Inc,EXPD,0.02%,Air Freight & Logistics,US,---,"$3,133,081.48","25,757"
,2747305,Rollins Inc,ROL,0.02%,Environmental & Facilities Services,US,---,"$3,000,322.29","59,613"
,2547419,MGM Resorts International,MGM,0.02%,Casinos & Gaming,US,---,"$2,969,893.08","77,462"
,2816023,A O Smith Corp,AOS,0.02%,Building Products,US,---,"$2,778,030.06","37,294"
,B44Z3T8,EPAM Systems Inc,EPAM,0.02%,IT Consulting & Other Services,US,---,"$2,747,270.96","11,263"
,B4V9661,Ralph Lauren Corp,RL,0.02%,"Apparel, Accessories & Luxury Goods",US,---,"$2,526,193.80","10,917"
,BL95MY0,Paycom Software Inc,PAYC,0.02%,Human Resource & Employment Services,US,---,"$2,395,965.52","10,331"
,BMWWGB0,Caesars Entertainment Inc,CZR,0.02%,Casinos & Gaming,US,---,"$2,383,493.25","61,925"
,BFRT3W7,Allegion plc,ALLE,0.02%,Building Products,US,---,"$2,307,522.56","16,384"
,2898087,DaVita Inc,DVA,0.01%,Health Care Services,US,---,"$2,075,795.64","12,492"
